province_raw,province_use
Hubei Province,Hubei
Henan Province,Henan
Guangdong Province,Guangdong
Hunan Province,Hunan
Anhui Province,Anhui
Jiangxi Province,Jiangxi
Zhejiang Province,Zhejiang
Jiangsu Province,Jiangsu
Sichuan Province,Sichuan
Chongqing,Chongqing
Shandong Province,Shandong
Fujian Province,Fujian
Yunnan Province,Yunnan
Shanghai,Shanghai
Hainan,Hainan
Shaanxi Province,Shaanxi
Beijing,Beijing
Hebei Province,Hebei
Guangxi Zhuang Autonomous Region,Guangxi
Shanxi Province,Shanxi
Guizhou Province,Guizhou
Liaoning Province,Liaoning
Gansu province,Gansu
Inner Mongolia Autonomous Region,Inner Mongolia
Jilin Province,Jilin
Heilongjiang Province,Heilongjiang
Xinjiang Uygur Autonomous Region,Xinjiang
Qinghai Province,Qinghai
Tianjin,Tianjin