date,province,percentage
1/26/20,Hubei Province,0.76
1/26/20,Henan Province,0.04
1/26/20,Guangdong Province,0.04
1/26/20,Hunan Province,0.02
1/26/20,Anhui Province,0.01
1/26/20,Jiangxi Province,0.01
1/26/20,Zhejiang Province,0.01
1/26/20,Jiangsu Province,0.01
1/26/20,Sichuan Province,0.01
1/26/20,Chongqing,0.01
1/26/20,Shandong Province,0.01
1/26/20,Fujian Province,0.01
1/26/20,Yunnan Province,0.01
1/26/20,Shanghai,0.01
1/26/20,Hainan,0.01
1/26/20,Shaanxi Province,0.00
1/26/20,Beijing,0.00
1/26/20,Hebei Province,0.00
1/26/20,Guangxi Zhuang Autonomous Region,0.00
1/26/20,Shanxi Province,0.00
1/26/20,Guizhou Province,0.00
1/26/20,Liaoning Province,0.00
1/26/20,Gansu province,0.00
1/26/20,Inner Mongolia Autonomous Region,0.00
1/26/20,Jilin Province,0.00
1/26/20,Heilongjiang Province,0.00
1/26/20,Xinjiang Uygur Autonomous Region,0.00
1/26/20,Qinghai Province,0.00
1/26/20,Tianjin,0.00
1/26/20,Ningxia Hui Autonomous Region,0.00
1/25/20,Hubei Province,0.75
1/25/20,Henan Province,0.04
1/25/20,Guangdong Province,0.03
1/25/20,Hunan Province,0.02
1/25/20,Anhui Province,0.02
1/25/20,Jiangxi Province,0.01
1/25/20,Jiangsu Province,0.01
1/25/20,Sichuan Province,0.01
1/25/20,Zhejiang Province,0.01
1/25/20,Chongqing,0.01
1/25/20,Shandong Province,0.01
1/25/20,Guangxi Zhuang Autonomous Region,0.01
1/25/20,Hainan,0.01
1/25/20,Fujian Province,0.01
1/25/20,Shaanxi Province,0.01
1/25/20,Yunnan Province,0.01
1/25/20,Hebei Province,0.01
1/25/20,Shanghai,0.00
1/25/20,Beijing,0.00
1/25/20,Guizhou Province,0.00
1/25/20,Shanxi Province,0.00
1/25/20,Gansu province,0.00
1/25/20,Heilongjiang Province,0.00
1/25/20,Liaoning Province,0.00
1/25/20,Inner Mongolia Autonomous Region,0.00
1/25/20,Jilin Province,0.00
1/25/20,Xinjiang Uygur Autonomous Region,0.00
1/25/20,Tianjin,0.00
1/25/20,Ningxia Hui Autonomous Region,0.00
1/25/20,Qinghai Province,0.00
1/25/20,Tibet Autonomous Region,0.00
1/24/20,Hubei Province,0.72
1/24/20,Henan Province,0.05
1/24/20,Hunan Province,0.03
1/24/20,Guangdong Province,0.03
1/24/20,Anhui Province,0.02
1/24/20,Jiangxi Province,0.02
1/24/20,Chongqing,0.01
1/24/20,Jiangsu Province,0.01
1/24/20,Sichuan Province,0.01
1/24/20,Shandong Province,0.01
1/24/20,Zhejiang Province,0.01
1/24/20,Fujian Province,0.01
1/24/20,Shaanxi Province,0.01
1/24/20,Guangxi Zhuang Autonomous Region,0.01
1/24/20,Hebei Province,0.01
1/24/20,Shanxi Province,0.01
1/24/20,Shanghai,0.01
1/24/20,Hainan,0.01
1/24/20,Yunnan Province,0.00
1/24/20,Beijing,0.00
1/24/20,Guizhou Province,0.00
1/24/20,Gansu province,0.00
1/24/20,Heilongjiang Province,0.00
1/24/20,Liaoning Province,0.00
1/24/20,Jilin Province,0.00
1/24/20,Inner Mongolia Autonomous Region,0.00
1/24/20,Xinjiang Uygur Autonomous Region,0.00
1/24/20,Tianjin,0.00
1/24/20,Ningxia Hui Autonomous Region,0.00
1/24/20,Qinghai Province,0.00
1/23/20,Hubei Province,0.77
1/23/20,Henan Province,0.05
1/23/20,Hunan Province,0.03
1/23/20,Anhui Province,0.02
1/23/20,Jiangxi Province,0.02
1/23/20,Guangdong Province,0.02
1/23/20,Chongqing,0.01
1/23/20,Jiangsu Province,0.01
1/23/20,Sichuan Province,0.01
1/23/20,Fujian Province,0.01
1/23/20,Shandong Province,0.01
1/23/20,Zhejiang Province,0.01
1/23/20,Hebei Province,0.01
1/23/20,Shaanxi Province,0.01
1/23/20,Guangxi Zhuang Autonomous Region,0.01
1/23/20,Shanxi Province,0.00
1/23/20,Beijing,0.00
1/23/20,Yunnan Province,0.00
1/23/20,Hainan,0.00
1/23/20,Shanghai,0.00
1/23/20,Guizhou Province,0.00
1/23/20,Gansu province,0.00
1/23/20,Heilongjiang Province,0.00
1/23/20,Liaoning Province,0.00
1/23/20,Jilin Province,0.00
1/23/20,Inner Mongolia Autonomous Region,0.00
1/23/20,Xinjiang Uygur Autonomous Region,0.00
1/23/20,Tianjin,0.00
1/23/20,Qinghai Province,0.00
1/23/20,Ningxia Hui Autonomous Region,0.00
1/23/20,Tibet Autonomous Region,0.00
1/22/20,Hubei Province,0.75
1/22/20,Henan Province,0.06
1/22/20,Hunan Province,0.03
1/22/20,Anhui Province,0.02
1/22/20,Jiangxi Province,0.02
1/22/20,Guangdong Province,0.02
1/22/20,Chongqing,0.01
1/22/20,Jiangsu Province,0.01
1/22/20,Sichuan Province,0.01
1/22/20,Shandong Province,0.01
1/22/20,Fujian Province,0.01
1/22/20,Zhejiang Province,0.01
1/22/20,Hebei Province,0.01
1/22/20,Shaanxi Province,0.01
1/22/20,Guangxi Zhuang Autonomous Region,0.01
1/22/20,Shanxi Province,0.00
1/22/20,Yunnan Province,0.00
1/22/20,Beijing,0.00
1/22/20,Hainan,0.00
1/22/20,Guizhou Province,0.00
1/22/20,Shanghai,0.00
1/22/20,Gansu province,0.00
1/22/20,Liaoning Province,0.00
1/22/20,Heilongjiang Province,0.00
1/22/20,Inner Mongolia Autonomous Region,0.00
1/22/20,Jilin Province,0.00
1/22/20,Xinjiang Uygur Autonomous Region,0.00
1/22/20,Tianjin,0.00
1/22/20,Ningxia Hui Autonomous Region,0.00
1/22/20,Qinghai Province,0.00
1/21/20,Hubei Province,0.72
1/21/20,Henan Province,0.06
1/21/20,Hunan Province,0.03
1/21/20,Anhui Province,0.02
1/21/20,Jiangxi Province,0.02
1/21/20,Guangdong Province,0.02
1/21/20,Chongqing,0.01
1/21/20,Jiangsu Province,0.01
1/21/20,Sichuan Province,0.01
1/21/20,Shandong Province,0.01
1/21/20,Zhejiang Province,0.01
1/21/20,Fujian Province,0.01
1/21/20,Hebei Province,0.01
1/21/20,Shaanxi Province,0.01
1/21/20,Guangxi Zhuang Autonomous Region,0.01
1/21/20,Shanxi Province,0.01
1/21/20,Beijing,0.00
1/21/20,Yunnan Province,0.00
1/21/20,Guizhou Province,0.00
1/21/20,Hainan,0.00
1/21/20,Shanghai,0.00
1/21/20,Liaoning Province,0.00
1/21/20,Gansu province,0.00
1/21/20,Heilongjiang Province,0.00
1/21/20,Jilin Province,0.00
1/21/20,Inner Mongolia Autonomous Region,0.00
1/21/20,Xinjiang Uygur Autonomous Region,0.00
1/21/20,Tianjin,0.00
1/21/20,Ningxia Hui Autonomous Region,0.00
1/21/20,Qinghai Province,0.00
1/20/20,Hubei Province,0.71
1/20/20,Henan Province,0.06
1/20/20,Hunan Province,0.03
1/20/20,Anhui Province,0.02
1/20/20,Jiangxi Province,0.02
1/20/20,Guangdong Province,0.02
1/20/20,Chongqing,0.01
1/20/20,Jiangsu Province,0.01
1/20/20,Sichuan Province,0.01
1/20/20,Shandong Province,0.01
1/20/20,Zhejiang Province,0.01
1/20/20,Hebei Province,0.01
1/20/20,Fujian Province,0.01
1/20/20,Shaanxi Province,0.01
1/20/20,Guangxi Zhuang Autonomous Region,0.01
1/20/20,Beijing,0.01
1/20/20,Shanxi Province,0.01
1/20/20,Yunnan Province,0.00
1/20/20,Shanghai,0.00
1/20/20,Guizhou Province,0.00
1/20/20,Hainan,0.00
1/20/20,Liaoning Province,0.00
1/20/20,Gansu province,0.00
1/20/20,Heilongjiang Province,0.00
1/20/20,Jilin Province,0.00
1/20/20,Inner Mongolia Autonomous Region,0.00
1/20/20,Xinjiang Uygur Autonomous Region,0.00
1/20/20,Tianjin,0.00
1/20/20,Ningxia Hui Autonomous Region,0.00
1/20/20,Qinghai Province,0.00
1/20/20,Tibet Autonomous Region,0.00
1/19/20,Hubei Province,0.70
1/19/20,Henan Province,0.06
1/19/20,Hunan Province,0.03
1/19/20,Anhui Province,0.02
1/19/20,Jiangxi Province,0.02
1/19/20,Guangdong Province,0.02
1/19/20,Jiangsu Province,0.01
1/19/20,Sichuan Province,0.01
1/19/20,Chongqing,0.01
1/19/20,Shandong Province,0.01
1/19/20,Zhejiang Province,0.01
1/19/20,Fujian Province,0.01
1/19/20,Hebei Province,0.01
1/19/20,Shaanxi Province,0.01
1/19/20,Guangxi Zhuang Autonomous Region,0.01
1/19/20,Beijing,0.01
1/19/20,Shanxi Province,0.01
1/19/20,Shanghai,0.01
1/19/20,Yunnan Province,0.00
1/19/20,Guizhou Province,0.00
1/19/20,Hainan,0.00
1/19/20,Liaoning Province,0.00
1/19/20,Heilongjiang Province,0.00
1/19/20,Gansu province,0.00
1/19/20,Jilin Province,0.00
1/19/20,Inner Mongolia Autonomous Region,0.00
1/19/20,Tianjin,0.00
1/19/20,Xinjiang Uygur Autonomous Region,0.00
1/19/20,Ningxia Hui Autonomous Region,0.00
1/19/20,Qinghai Province,0.00
1/19/20,Tibet Autonomous Region,0.00
1/18/20,Hubei Province,0.70
1/18/20,Henan Province,0.06
1/18/20,Hunan Province,0.04
1/18/20,Anhui Province,0.02
1/18/20,Jiangxi Province,0.02
1/18/20,Guangdong Province,0.02
1/18/20,Jiangsu Province,0.02
1/18/20,Chongqing,0.01
1/18/20,Sichuan Province,0.01
1/18/20,Zhejiang Province,0.01
1/18/20,Shandong Province,0.01
1/18/20,Hebei Province,0.01
1/18/20,Fujian Province,0.01
1/18/20,Beijing,0.01
1/18/20,Shaanxi Province,0.01
1/18/20,Shanghai,0.01
1/18/20,Guangxi Zhuang Autonomous Region,0.01
1/18/20,Shanxi Province,0.01
1/18/20,Guizhou Province,0.00
1/18/20,Yunnan Province,0.00
1/18/20,Liaoning Province,0.00
1/18/20,Hainan,0.00
1/18/20,Heilongjiang Province,0.00
1/18/20,Gansu province,0.00
1/18/20,Xinjiang Uygur Autonomous Region,0.00
1/18/20,Jilin Province,0.00
1/18/20,Tianjin,0.00
1/18/20,Inner Mongolia Autonomous Region,0.00
1/18/20,Ningxia Hui Autonomous Region,0.00
1/18/20,Qinghai Province,0.00
1/18/20,Tibet Autonomous Region,0.00
1/17/20,Hubei Province,0.67
1/17/20,Henan Province,0.06
1/17/20,Hunan Province,0.04
1/17/20,Anhui Province,0.03
1/17/20,Jiangxi Province,0.02
1/17/20,Guangdong Province,0.02
1/17/20,Jiangsu Province,0.02
1/17/20,Chongqing,0.01
1/17/20,Sichuan Province,0.01
1/17/20,Shandong Province,0.01
1/17/20,Zhejiang Province,0.01
1/17/20,Hebei Province,0.01
1/17/20,Beijing,0.01
1/17/20,Fujian Province,0.01
1/17/20,Shanghai,0.01
1/17/20,Guangxi Zhuang Autonomous Region,0.01
1/17/20,Shaanxi Province,0.01
1/17/20,Shanxi Province,0.01
1/17/20,Yunnan Province,0.01
1/17/20,Guizhou Province,0.01
1/17/20,Liaoning Province,0.00
1/17/20,Hainan,0.00
1/17/20,Gansu province,0.00
1/17/20,Heilongjiang Province,0.00
1/17/20,Jilin Province,0.00
1/17/20,Inner Mongolia Autonomous Region,0.00
1/17/20,Tianjin,0.00
1/17/20,Xinjiang Uygur Autonomous Region,0.00
1/17/20,Ningxia Hui Autonomous Region,0.00
1/17/20,Qinghai Province,0.00
1/17/20,Tibet Autonomous Region,0.00
1/16/20,Hubei Province,0.66
1/16/20,Henan Province,0.06
1/16/20,Hunan Province,0.04
1/16/20,Anhui Province,0.02
1/16/20,Jiangxi Province,0.02
1/16/20,Guangdong Province,0.02
1/16/20,Jiangsu Province,0.02
1/16/20,Chongqing,0.01
1/16/20,Sichuan Province,0.01
1/16/20,Beijing,0.01
1/16/20,Shandong Province,0.01
1/16/20,Zhejiang Province,0.01
1/16/20,Fujian Province,0.01
1/16/20,Hebei Province,0.01
1/16/20,Shanghai,0.01
1/16/20,Guangxi Zhuang Autonomous Region,0.01
1/16/20,Shaanxi Province,0.01
1/16/20,Guizhou Province,0.01
1/16/20,Yunnan Province,0.01
1/16/20,Shanxi Province,0.01
1/16/20,Hainan,0.00
1/16/20,Liaoning Province,0.00
1/16/20,Gansu province,0.00
1/16/20,Heilongjiang Province,0.00
1/16/20,Xinjiang Uygur Autonomous Region,0.00
1/16/20,Inner Mongolia Autonomous Region,0.00
1/16/20,Tianjin,0.00
1/16/20,Jilin Province,0.00
1/16/20,Ningxia Hui Autonomous Region,0.00
1/16/20,Qinghai Province,0.00
1/16/20,Tibet Autonomous Region,0.00
1/15/20,Hubei Province,0.66
1/15/20,Henan Province,0.06
1/15/20,Hunan Province,0.04
1/15/20,Anhui Province,0.03
1/15/20,Jiangxi Province,0.02
1/15/20,Guangdong Province,0.02
1/15/20,Jiangsu Province,0.02
1/15/20,Chongqing,0.02
1/15/20,Sichuan Province,0.01
1/15/20,Beijing,0.01
1/15/20,Shandong Province,0.01
1/15/20,Hebei Province,0.01
1/15/20,Zhejiang Province,0.01
1/15/20,Fujian Province,0.01
1/15/20,Shanghai,0.01
1/15/20,Guangxi Zhuang Autonomous Region,0.01
1/15/20,Shaanxi Province,0.01
1/15/20,Shanxi Province,0.01
1/15/20,Guizhou Province,0.01
1/15/20,Yunnan Province,0.01
1/15/20,Gansu province,0.00
1/15/20,Hainan,0.00
1/15/20,Liaoning Province,0.00
1/15/20,Heilongjiang Province,0.00
1/15/20,Xinjiang Uygur Autonomous Region,0.00
1/15/20,Tianjin,0.00
1/15/20,Jilin Province,0.00
1/15/20,Inner Mongolia Autonomous Region,0.00
1/15/20,Ningxia Hui Autonomous Region,0.00
1/15/20,Qinghai Province,0.00
1/15/20,Tibet Autonomous Region,0.00
1/14/20,Hubei Province,0.65
1/14/20,Henan Province,0.06
1/14/20,Hunan Province,0.04
1/14/20,Anhui Province,0.02
1/14/20,Jiangxi Province,0.02
1/14/20,Guangdong Province,0.02
1/14/20,Jiangsu Province,0.02
1/14/20,Sichuan Province,0.02
1/14/20,Chongqing,0.01
1/14/20,Beijing,0.01
1/14/20,Shandong Province,0.01
1/14/20,Zhejiang Province,0.01
1/14/20,Shanghai,0.01
1/14/20,Fujian Province,0.01
1/14/20,Guangxi Zhuang Autonomous Region,0.01
1/14/20,Hebei Province,0.01
1/14/20,Shaanxi Province,0.01
1/14/20,Guizhou Province,0.01
1/14/20,Shanxi Province,0.01
1/14/20,Yunnan Province,0.01
1/14/20,Gansu province,0.00
1/14/20,Liaoning Province,0.00
1/14/20,Hainan,0.00
1/14/20,Xinjiang Uygur Autonomous Region,0.00
1/14/20,Heilongjiang Province,0.00
1/14/20,Inner Mongolia Autonomous Region,0.00
1/14/20,Jilin Province,0.00
1/14/20,Tianjin,0.00
